plants,herbivores,predators
380,60,15
391,60,15
383,60,15
348,60,15
300,57,15
265,53,15
214,47,15
192,42,14
163,35,14
160,31,14
108,28,13
110,25,10
129,22,10
143,19,9
125,18,9
126,19,8
133,17,8
134,16,7
122,13,6
136,11,5
118,12,5
148,11,5
174,10,5
171,8,5
166,7,5
187,4,5
186,5,5
207,5,5
216,6,5
227,6,4
220,6,4
222,5,4
212,7,4
226,8,4
217,9,4
206,9,4
247,9,4
249,11,4
245,11,4
273,12,4
284,12,4
310,12,4
303,13,4
305,15,4
306,15,4
287,16,4
270,17,4
262,18,4
262,21,4
221,21,4
209,23,4
202,24,4
162,28,4
163,30,4
167,32,4
164,33,4
140,35,4
133,35,4
145,33,5
168,32,5
173,31,5
167,31,5
164,33,5
192,28,5
194,26,5
192,25,5
195,18,7
197,19,7
196,19,7
209,20,7
206,21,7
176,24,7
156,25,7
163,27,7
144,27,7
126,29,7
125,30,7
119,30,7
116,32,7
127,31,7
99,30,7
106,31,7
119,33,7
117,33,8
103,32,8
113,31,8
110,27,8
131,27,8
128,24,9
122,24,9
112,23,9
134,24,9
146,23,9
154,24,9
155,25,9
159,25,9
